NO_OF_FRAMES	775
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:00:59.078	683793.93011830
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1045	2.08800	331.086	465.665	195.144
1046	2.09000	331.011	464.472	195.141
1047	2.09200	330.970	463.279	195.139
1048	2.09400	330.903	462.102	195.113
1049	2.09600	330.835	460.917	195.126
1050	2.09800	330.774	459.741	195.128
1051	2.10000	330.727	458.565	195.158
1052	2.10200	330.666	457.388	195.163
1053	2.10400	330.605	456.203	195.158
1054	2.10600	330.544	455.002	195.153
1055	2.10800	330.490	453.834	195.150
1056	2.11000	330.423	452.657	195.160
1057	2.11200	330.355	451.473	195.158
1058	2.11400	330.247	450.280	195.119
1059	2.11600	330.173	449.095	195.094
1060	2.11800	330.098	447.911	195.098
1061	2.12000	330.031	446.734	195.089
1062	2.12200	329.970	445.549	195.096
1063	2.12400	329.896	444.381	195.102
1064	2.12600	329.828	443.189	195.099
1065	2.12800	329.761	442.004	195.084
1066	2.13000	329.700	440.819	195.071
1067	2.13200	329.640	439.643	195.097
1068	2.13400	329.599	438.458	195.113
1069	2.13600	329.538	437.282	195.117
1070	2.13800	329.463	436.098	195.135
1071	2.14000	329.402	434.905	195.117
1072	2.14200	329.341	433.737	195.137
1073	2.14400	329.280	432.545	195.148
1074	2.14600	329.226	431.377	195.146
1075	2.14800	329.157	430.176	195.148
1076	2.15000	329.090	428.992	195.124
1077	2.15200	329.013	427.792	195.154
1078	2.15400	328.953	426.632	195.144
1079	2.15600	328.906	425.464	195.148
1080	2.15800	328.846	424.288	195.142
1081	2.16000	328.778	423.104	195.150
1082	2.16200	328.691	421.936	195.131
1083	2.16400	328.576	420.744	195.102
1084	2.16600	328.501	419.560	195.088
1085	2.16800	328.434	418.368	195.115
1086	2.17000	328.345	417.184	195.105
1087	2.17200	328.264	416.000	195.095
1088	2.17400	328.204	414.824	195.099
1089	2.17600	328.136	413.657	195.092
1090	2.17800	328.062	412.481	195.074
1091	2.18000	327.987	411.297	195.071
1092	2.18200	327.920	410.121	195.055
1093	2.18400	327.853	408.945	195.067
1094	2.18600	327.792	407.777	195.041
1095	2.18800	327.732	406.602	195.055
1096	2.19000	327.671	405.426	195.046
1097	2.19200	327.618	404.250	195.062
1098	2.19400	327.557	403.075	195.082
1099	2.19600	327.510	401.899	195.077
1100	2.19800	327.442	400.708	195.075
1101	2.20000	327.381	399.524	195.086
1102	2.20200	327.327	398.349	195.085
1103	2.20400	327.266	397.165	195.099
1104	2.20600	327.198	395.983	195.114
1105	2.20800	327.064	394.799	195.076
