NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:21:13
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z

Frame	Time	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z	
3315	6.62800	-145.515	-178.137	0.208
3316	6.63000	-145.517	-178.519	0.510
3317	6.63200	-144.898	-178.072	0.566
3318	6.63400	-144.522	-177.979	0.738
3319	6.63600	-144.948	-178.276	0.495
3320	6.63800	-145.265	-177.872	0.762
3321	6.64000	-144.503	-178.035	1.797
3322	6.64200	-143.734	-178.435	1.499
3323	6.64400	-143.759	-177.894	0.865
3324	6.64600	-143.976	-177.855	1.045
3325	6.64800	-144.972	-178.604	1.839
3326	6.65000	-144.163	-179.081	1.901
3327	6.65200	-142.881	-178.765	1.161
3328	6.65400	-143.949	-178.663	1.540
3329	6.65600	-144.705	-179.362	1.957
3330	6.65800	-143.639	-179.475	1.774
3331	6.66000	-143.276	-179.136	1.851
3332	6.66200	-143.778	-179.330	1.698
3333	6.66400	-143.278	-179.362	1.570
3334	6.66600	-143.143	-179.268	0.971
3335	6.66800	-143.000	-179.386	0.573
3336	6.67000	-142.468	-179.358	1.091
