NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:22:16
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z

Frame	Time	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z	
3102	6.20200	-176.591	-27.313	0.619
3103	6.20400	-176.641	-27.176	0.210
3104	6.20600	-176.597	-27.107	-0.015
3105	6.20800	-176.534	-26.867	-0.604
3106	6.21000	-176.751	-26.842	-0.958
3107	6.21200	-176.275	-26.847	-1.566
3108	6.21400	-176.245	-26.817	-1.989
3109	6.21600	-176.643	-26.869	-1.904
3110	6.21800	-176.201	-27.055	-2.039
3111	6.22000	-176.261	-27.370	-1.560
3112	6.22200	-176.592	-27.498	-1.186
3113	6.22400	-176.379	-27.577	-1.214
3114	6.22600	-176.496	-28.035	-0.412
3115	6.22800	-176.648	-28.143	0.116
3116	6.23000	-176.526	-28.120	0.102
3117	6.23200	-176.496	-28.316	0.412
3118	6.23400	-176.561	-28.262	0.695
3119	6.23600	-176.614	-28.082	0.629
3120	6.23800	-176.490	-27.994	0.795
3121	6.24000	-176.593	-27.950	1.317
3122	6.24200	-176.491	-27.726	1.140
3123	6.24400	-176.263	-27.426	0.587
3124	6.24600	-176.492	-27.417	0.707
3125	6.24800	-176.197	-27.173	0.565
3126	6.25000	-176.065	-26.869	0.310
3127	6.25200	-176.197	-26.807	0.317
3128	6.25400	-175.689	-26.653	-0.162
3129	6.25600	-175.805	-26.501	-0.624
3130	6.25800	-175.927	-26.438	-0.424
3131	6.26000	-175.337	-26.537	-0.437
3132	6.26200	-175.466	-26.659	-0.600
3133	6.26400	-175.529	-26.659	-0.207
3134	6.26600	-175.022	-26.798	0.244
3135	6.26800	-175.085	-27.107	0.833
3136	6.27000	-175.207	-27.168	1.103
3137	6.27200	-174.960	-27.224	1.295
3138	6.27400	-175.005	-27.421	1.811
3139	6.27600	-175.172	-27.459	1.935
3140	6.27800	-175.348	-27.504	1.992
3141	6.28000	-175.308	-27.552	2.065
3142	6.28200	-175.055	-27.461	2.043
3143	6.28400	-174.963	-27.224	1.904
3144	6.28600	-174.971	-27.174	1.712
3145	6.28800	-175.238	-27.188	1.623
3146	6.29000	-175.128	-26.950	1.181
3147	6.29200	-175.021	-27.038	0.677
3148	6.29400	-175.366	-27.138	0.382
3149	6.29600	-175.248	-26.995	-0.202
3150	6.29800	-175.179	-26.969	-0.746
3151	6.30000	-175.054	-27.047	-0.836
3152	6.30200	-174.598	-27.009	-1.186
3153	6.30400	-174.757	-27.174	-1.537
3154	6.30600	-174.956	-27.436	-1.371
3155	6.30800	-174.507	-27.510	-1.129
3156	6.31000	-174.240	-27.615	-1.059
3157	6.31200	-174.496	-27.663	-1.317
3158	6.31400	-174.446	-27.762	-0.949
3159	6.31600	-174.061	-28.062	-0.340
3160	6.31800	-174.043	-28.138	-0.118
3161	6.32000	-174.274	-27.886	0.133
3162	6.32200	-174.146	-27.855	0.355
3163	6.32400	-173.920	-27.844	0.681
3164	6.32600	-174.109	-27.773	0.610
3165	6.32800	-174.208	-27.593	0.340
3166	6.33000	-174.094	-27.581	0.406
3167	6.33200	-174.205	-27.420	0.394
3168	6.33400	-174.384	-27.176	0.340
3169	6.33600	-174.376	-27.322	0.324
3170	6.33800	-174.323	-27.147	0.101
3171	6.34000	-174.541	-27.098	-0.055
3172	6.34200	-174.379	-27.185	-0.274
3173	6.34400	-174.236	-27.056	-0.476
3174	6.34600	-174.526	-27.100	-0.447
3175	6.34800	-174.619	-27.141	-0.370
3176	6.35000	-174.580	-27.358	-0.163
3177	6.35200	-174.711	-27.744	-0.041
3178	6.35400	-175.345	-28.298	-0.078
3179	6.35600	-176.334	-29.121	0.354
3180	6.35800	-176.589	-29.750	1.018
3181	6.36000	-176.810	-30.335	0.973
3182	6.36200	-178.107	-30.922	1.201
3183	6.36400	-178.863	-31.396	1.813
3184	6.36600	-178.445	-31.577	1.884
3185	6.36800	-178.004	-31.360	1.903
3186	6.37000	-177.690	-30.857	1.629
3187	6.37200	-176.922	-30.232	1.130
3188	6.37400	-176.067	-29.480	1.437
3189	6.37600	-174.851	-28.418	1.802
3190	6.37800	-172.963	-27.039	1.000
3191	6.38000	-171.404	-25.528	0.396
3192	6.38200	-169.950	-24.101	0.493
3193	6.38400	-167.661	-22.293	0.354
3194	6.38600	-165.397	-20.096	0.111
3195	6.38800	-163.026	-17.904	-0.230
3196	6.39000	-160.152	-15.689	-0.642
3197	6.39200	-157.779	-13.465	-0.575
3198	6.39400	-155.285	-11.156	-0.528
3199	6.39600	-151.828	-8.719	-0.608
3200	6.39800	-148.723	-6.277	-0.542
3201	6.40000	-145.690	-3.856	-0.547
3202	6.40200	-142.387	-1.255	-0.758
3203	6.40400	-139.619	1.223	-0.560
3204	6.40600	-136.572	3.735	-0.143
3205	6.40800	-132.848	6.570	-0.365
3206	6.41000	-129.668	9.145	-0.733
3207	6.41200	-126.793	11.912	-0.719
3208	6.41400	-123.385	14.658	-0.235
3209	6.41600	-120.676	16.949	0.057
3210	6.41800	-118.118	19.687	-0.001
3211	6.42000	-114.929	22.505	-0.697
3212	6.42200	-112.163	24.710	-0.772
3213	6.42400	-110.035	26.924	-0.381
3214	6.42600	-108.224	29.097	-0.801
3215	6.42800	-106.137	31.008	-0.960
3216	6.43000	-103.689	32.743	-0.787
3217	6.43200	-101.684	34.404	-0.854
3218	6.43400	-100.442	35.773	-0.686
3219	6.43600	-99.303	36.686	-0.246
3220	6.43800	-97.852	37.625	-0.535
3221	6.44000	-96.838	38.394	-0.297
3222	6.44200	-96.053	38.866	0.514
3223	6.44400	-95.624	39.124	0.650
3224	6.44600	-96.043	39.087	0.868
3225	6.44800	-96.350	38.896	1.279
3226	6.45000	-96.081	38.528	1.462
3227	6.45200	-96.869	37.867	1.415
3228	6.45400	-98.370	37.133	1.420
3229	6.45600	-99.067	36.643	1.698
3230	6.45800	-99.242	36.293	1.607
3231	6.46000	-99.564	35.900	1.026
3232	6.46200	-100.208	35.590	0.754
3233	6.46400	-100.445	35.161	0.655
3234	6.46600	-100.368	35.039	0.144
3235	6.46800	-100.266	35.278	-0.123
3236	6.47000	-100.393	35.191	0.012
3237	6.47200	-100.244	35.052	0.178
3238	6.47400	-100.009	35.028	0.343
3239	6.47600	-100.345	34.912	0.463
3240	6.47800	-100.337	34.910	0.536
3241	6.48000	-100.269	34.843	0.657
3242	6.48200	-100.254	34.639	1.069
3243	6.48400	-100.008	34.836	0.986
3244	6.48600	-99.940	34.984	0.509
3245	6.48800	-99.996	34.746	0.503
3246	6.49000	-100.089	34.475	0.535
3247	6.49200	-100.035	34.356	0.258
3248	6.49400	-99.800	34.375	-0.583
3249	6.49600	-99.595	34.334	-1.008
3250	6.49800	-99.630	34.306	-1.142
3251	6.50000	-99.566	34.247	-1.478
3252	6.50200	-99.462	34.247	-1.663
3253	6.50400	-99.473	34.267	-1.557
3254	6.50600	-99.443	34.267	-1.114
3255	6.50800	-99.333	34.408	-1.219
3256	6.51000	-99.279	34.514	-1.198
3257	6.51200	-99.529	34.644	-0.886
